timestamp,modelName,count
2025-06-02 00:00:00,iPhone 13,196380
2025-06-02 00:00:00,iPhone 15,126394
2025-06-02 00:00:00,iPhone 11,121365
2025-06-02 00:00:00,iPhone 14,121314
2025-06-02 00:00:00,iPhone 15 Pro Max,120546
2025-06-02 00:00:00,iPhone 15 Pro,117995
2025-06-02 00:00:00,iPhone 16 Pro,106821
2025-06-02 00:00:00,iPhone 16 Pro Max,98863
2025-06-02 00:00:00,iPhone 14 Pro,94369
2025-06-02 00:00:00,iPhone 12,93907
2025-06-09 00:00:00,iPhone 13,183934
2025-06-09 00:00:00,iPhone 15,118737
2025-06-09 00:00:00,iPhone 14,113517
2025-06-09 00:00:00,iPhone 15 Pro Max,112905
2025-06-09 00:00:00,iPhone 11,111437
2025-06-09 00:00:00,iPhone 15 Pro,110563
2025-06-09 00:00:00,iPhone 16 Pro,103790
2025-06-09 00:00:00,iPhone 16 Pro Max,94871
2025-06-09 00:00:00,iPhone 14 Pro,91842
2025-06-09 00:00:00,iPhone 12,87002
2025-06-16 00:00:00,iPhone 13,191308
2025-06-16 00:00:00,iPhone 15,124299
2025-06-16 00:00:00,iPhone 14,118200
2025-06-16 00:00:00,iPhone 15 Pro Max,116682
2025-06-16 00:00:00,iPhone 11,115453
2025-06-16 00:00:00,iPhone 15 Pro,114788
2025-06-16 00:00:00,iPhone 16 Pro,109475
2025-06-16 00:00:00,iPhone 16 Pro Max,98575
2025-06-16 00:00:00,iPhone 14 Pro,94303
2025-06-16 00:00:00,iPhone 12,90521
2025-06-23 00:00:00,iPhone 13,200221
2025-06-23 00:00:00,iPhone 15,128468
2025-06-23 00:00:00,iPhone 14,123879
2025-06-23 00:00:00,iPhone 15 Pro Max,120710
2025-06-23 00:00:00,iPhone 11,118738
2025-06-23 00:00:00,iPhone 15 Pro,118448
2025-06-23 00:00:00,iPhone 16 Pro,114596
2025-06-23 00:00:00,iPhone 16 Pro Max,101858
2025-06-23 00:00:00,iPhone 14 Pro,97110
2025-06-23 00:00:00,iPhone 12,93989
2025-06-30 00:00:00,iPhone 13,204867
2025-06-30 00:00:00,iPhone 15,132732
2025-06-30 00:00:00,iPhone 14,126050
2025-06-30 00:00:00,iPhone 15 Pro Max,123388
2025-06-30 00:00:00,iPhone 15 Pro,122089
2025-06-30 00:00:00,iPhone 11,120217
2025-06-30 00:00:00,iPhone 16 Pro,119678
2025-06-30 00:00:00,iPhone 16 Pro Max,107328
2025-06-30 00:00:00,iPhone 14 Pro,97301
2025-06-30 00:00:00,iPhone 12,94933
2025-07-07 00:00:00,iPhone 13,203211
2025-07-07 00:00:00,iPhone 15,131300
2025-07-07 00:00:00,iPhone 14,125036
2025-07-07 00:00:00,iPhone 15 Pro Max,122138
2025-07-07 00:00:00,iPhone 16 Pro,120221
2025-07-07 00:00:00,iPhone 15 Pro,119494
2025-07-07 00:00:00,iPhone 11,118365
2025-07-07 00:00:00,iPhone 16 Pro Max,106545
2025-07-07 00:00:00,iPhone 14 Pro,97586
2025-07-07 00:00:00,iPhone 12,93885
2025-07-14 00:00:00,iPhone 13,204970
2025-07-14 00:00:00,iPhone 15,134057
2025-07-14 00:00:00,iPhone 14,127163
2025-07-14 00:00:00,iPhone 16 Pro,124677
2025-07-14 00:00:00,iPhone 15 Pro Max,123214
2025-07-14 00:00:00,iPhone 15 Pro,122460
2025-07-14 00:00:00,iPhone 11,118224
2025-07-14 00:00:00,iPhone 16 Pro Max,107832
2025-07-14 00:00:00,iPhone 14 Pro,97856
2025-07-14 00:00:00,iPhone 12,93588
2025-07-21 00:00:00,iPhone 13,205053
2025-07-21 00:00:00,iPhone 15,133940
2025-07-21 00:00:00,iPhone 14,126976
2025-07-21 00:00:00,iPhone 16 Pro,125796
2025-07-21 00:00:00,iPhone 15 Pro Max,124758
2025-07-21 00:00:00,iPhone 15 Pro,121455
2025-07-21 00:00:00,iPhone 11,119080
2025-07-21 00:00:00,iPhone 16 Pro Max,111299
2025-07-21 00:00:00,iPhone 14 Pro,97584
2025-07-21 00:00:00,iPhone 12,94176
2025-07-28 00:00:00,iPhone 13,208757
2025-07-28 00:00:00,iPhone 15,136825
2025-07-28 00:00:00,iPhone 16 Pro,130156
2025-07-28 00:00:00,iPhone 14,129834
2025-07-28 00:00:00,iPhone 15 Pro Max,127723
2025-07-28 00:00:00,iPhone 15 Pro,123409
2025-07-28 00:00:00,iPhone 11,122117
2025-07-28 00:00:00,iPhone 16 Pro Max,114055
2025-07-28 00:00:00,iPhone 14 Pro,99447
