"Screen Resolution","Market Share Perc. (Sept 2025 - Feb 2026)"
"360x800",10.21
"414x896",6.81
"390x844",6.2
"393x873",4.75
"375x812",4.36
"384x832",3.97
"412x915",3.49
"360x780",3.39
"393x852",3.12
"385x854",2.59
"360x806",2.41
"430x932",2.02
"412x892",1.67
"360x804",1.54
"428x926",1.46
"384x854",1.41
"384x857",1.38
"375x667",1.38
"360x760",1.18
"393x851",1.17
"Other",35.47
