"Screen Resolution","Market Share Perc. (Sept 2025 - Feb 2026)"
"1920x1080",19.39
"800x600",9.01
"1536x864",7.53
"1280x1200",7.44
"1366x768",6.32
"3840x2160",5.26
"1280x720",3.67
"2560x1440",3.08
"1440x900",2.77
"384x832",1.74
"1600x900",1.49
"360x800",1.41
"1280x800",1.32
"1680x1050",0.87
"360x820",0.87
"1470x956",0.8
"820x1180",0.78
"810x1080",0.77
"1536x960",0.77
"360x802",0.76
"Other",23.94
